Book,Category,Section #,Section Name,Section Title,Subsection Type,Subsection Title,Content Type,Content,Content_Num,Author,Image,Source
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Infographic,The perfect human capital in the office results from the balance between the bonding and the bridging abilities of people,11,,https://drive.google.com/file/d/1_kpmJ4o9-PTP6SaXrBtFb1BEIS1om5x1/view?usp=sharing,"Source: Putnam R., ""Bowling Alone"", 2000"
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Infographic,"The 10 major trends in office management, ranked in order of importance",12,,https://drive.google.com/file/d/1LzGdNfxRMahgxwSILbEBp24Z11lancti/view?usp=sharing,"Data: Deloitte University Press, 2016"
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Infographic,The 10 psychological drivers of workforce productivity which are more effective than financial reward,13,,https://drive.google.com/file/d/1bpXAE4v5evauuEDkqyRSzWOzHH7tDDWN/view?usp=sharing,"Data: ""The Future of Work"", The Workplace Intelligence Unit, 2006"
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Infographic,"New organizations are characterized by a new management in which the traditional roles of the Facilities Manager and the Human Resources Manager are now condensed into a new role, whose priority is to support a network of teams and keep the culture of the company alive.",14,,https://drive.google.com/file/d/1D7S1Yxo8v-OQShKi9H_0SzRakd-719dx/view?usp=sharing,"Data: Deloitte University Press, 2016"
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Infographic,"How values and needs change over different historical periods, systems of belief and generations: a comparison between the industrial, dream and creative societies.",15,,https://drive.google.com/file/d/1dC-5LK1PiPitRSwf0UPWl5tDq_HCThYl/view?usp=sharing,"Source: Et. a. ""The Creative Man"", The Copenhagen Istitute fo Future Studies, 2010."
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Infographic,Seven Levels of organizational consciousness,16,,https://drive.google.com/file/d/1sfYwqIoJxLSPisF2teQOHva4bzE2GMur/view?usp=sharing,Source: Barret Values Centre
Hacktivism,Techonology,1,Facts and figures,Hacktivism,,,Infographic,,17,,https://drive.google.com/file/d/1V0pmIiw1gaekA4YTWkJ038w0r4Qzuowx/view?usp=sharing,
Hacktivism,Techonology,2,The expert‘s talk,Efficiency as result of transparency,,,Section Description,"An interview with Gianmaurizio Cazzarolli, of Tetra Pak Packaging Solutions in Modena Italy, the division of Tetra Pak Group that deals with the design and manufacture of aseptic packaging solutions for the transport of liquids.",18,,,
Hacktivism,Techonology,2,The expert‘s talk,Efficiency as result of transparency,,,Bio,"With a degree in Mechanical Engineering, Gianmaurizio Cazzarolli has worked for Tetra Pak since 1982. After a period in the R&D and customer services teams as a manager, today he serves as Director of the Facility and Real Estate Management in the research and production centre of the group in Modena. His team handles all the support operations for the 852 employees, more than 100 of whom come from some 32 countries, in a company that “cares about people, which represent our main investment and our competitive advantage”.",19,,,
Hacktivism,Techonology,2,The expert‘s talk,Efficiency as result of transparency,,,Interview,"Traditionally, efficiency and flexibility are seen as mutually exclusive when managing a workforce; when one increases the other decreases. This does not seem the case with organizations that care about the wellbeing of employees: what are your thoughts about that?

G.C. _ An open organization is one that cares about the welfare of people, offering the necessary flexibility to help them work better and it is often rewarded with a greater willingness from the employee to give more than expected. If a company is transparent and shares with its own employees information and goals, every person is aware of the work process, accepts responsibility and eventually is also available to help colleagues, knowing that next time they will help them back in return.

Therefore, our experience shows that efficiency and flexibility are not exclusive, at all. Empowering people and facilitating their interactions results in the optimization of the working process.

The secret lies in the common sharing of a corporate philosophy, a set of values that everyone must respect. Our mantra is to achieve the goals we have set in a project through the satisfaction and engagement of those who work in it.
Apparently, we are moving from a model of work in which the employees are free to customize their workplace to one in which they have the chance to choose times and places in which to work. Is that the case with Tetra Pak, too? How would this freedom of choice in the way to work impact on the role of management?

G.C. _ Tetra Pak is a family based company, founded in Sweden, a country with a very different working culture compared to those in the Mediterranean. In our offices flexibility has always been at the centre of the relationship between employee and company, at all possible levels.

Allowing flexibility means acknowledging that there are individual aspects - such as who is more efficient in the morning and who in the afternoon - organizational ones - such as those who work with clients in different time zone regions - and work-life balance ones that require a managerial skill to be learned. A skill that we try to teach through dialogue and the development of a particular mindset especially in managers, because it is obvious that if a manager offers greater recognition to someone for staying longer in the office than someone who is more efficient - as often happens in traditional businesses - this would go against the very idea of flexibility. It’s a continuous process that includes opportunities for discussion and support, exchange of experiences and respect for a transparent relationship between the various working levels of the company.

What is the importance of teams in this type of work process? What are the degrees of freedom?

G.C. _ Teams are key elements in the way we work. The employees take responsibility for the work of their own team. Successes and failures are shared and therefore it is in the team that we have to provide the flexibility to assure a good work-life balance.

Tetra Pak has taken the idea of “efficient flexibility” that is typically associated with the new economy and digital sector, and introduced it to a traditional manufacturing industry. What are the peculiarities and difficulties you've encountered in this regard?

G.C. _ First of all, we must specify that the concept of a team in Tetra Pak is not based on departments or functions, but on the set of people who, for various reasons and at different levels, are involved in a project. Therefore it involves people who are working on the project at different stages and in various ways, from the design and construction of machines to the phase of testing of packages or from R&D to commercial.

What are the values that Tetra Pak seeks to develop as the main link between the company and its employees through flexibility at work?

G.C. _ Definitely the main value of this relationship between employees and the company is transparency: there is no real sharing unless you have maximum information flow and knowledge about the challenges and the strategic goals of the company.

Based on that, we can then establish an open dialogue in which everybody can participate and set the modalities through which to achieve our stated goals.

The realisation stage of a project also has to be transparent. In our company the progress of all projects is visible to everybody. We have a so-called ""war room"", a sort of forum at the heart of the production plant, around which all operational areas converge: in this space, some panels report the production chains marked with green, yellow or red depending on whether they're complying with the schedule, they are addressing some problem or they are late.

Simply sharing this information establishes a dialogue between teams, promotes the exchange of experiences and activates forms of collaboration. But transparency is not just about information: all of our offices and facilities are designed for maximum visual transparency and flexibility.

The offices are conceived as smart boxes, made of glass panels, the layout of which can be easily modified in response to specific working requirements. Open space, meeting rooms, separate offices: when we contracted the architects who built our offices, we did not explain to them the way we work. The result was a modular building that allows changes very easily, over a weekend, without modifications to technical plants and still providing maximum transparency among the working spaces.

This is another way to allow people to take responsibility for their behaviours: everyone can see everyone, no hierarchy - of course ensuring confidentiality through the maximum insulation from noise.

Is the company engaged in social projects? How do these projects fit with the company's strategy and how are employees involved? Are they free to combine work and social commitments?

G.C. _ When you ask employees to stay at work overtime or respond to emails outside office hours it means you ask them to combine their professional and private lives. For us, this is acceptable only if allow it to work both ways. Between private interests and work commitments there are a lot of social initiatives that we sometimes promote as a company. We have teams that develop a sense of community amongst employees outside the office, such as those dedicated to artistic or sporting events or charity ones. Many of these projects are related to everyday life. So, we developed a series of public cycle lanes in partnership with the Municipality of Modena to encourage employees to bike to work. Similarly, we contributed to the building of a kindergarten which is open to the children of employees and local citizens. In this way we believe that the collaborative spirit that characterises our way of working can go beyond the gates of our company and become a model for other organizations.",20,,,
Hacktivism,Techonology,2,The expert‘s talk,Efficiency as result of transparency,,,Photo,,21,,,
Hacktivism,Techonology,2,The expert‘s talk,Efficiency as result of transparency,,,Photo,,22,,,
Hacktivism,Techonology,2,The expert‘s talk,Efficiency as result of transparency,,,Photo,,23,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,,,Section Description,"Eight case studies of the spaces, applications, initiatives, policies, products and services that reveal the importance of workplace strategy and how the world's greatest companies implement it.",24,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Go To Jupiter,Number,1,25,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Go To Jupiter,Photo,,26,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Go To Jupiter,Subtitle,Technology and gamification for continuous learning,27,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Go To Jupiter,Body Copy,"“Go to Jupiter” is an e-learning tool game developed by AstraZeneca, a biopharmaceutical company operating on a global scale, commit- ted to the research, development and commercialisation of ethical medicines.
“Go to Jupiter” is used to train 500 pharmaceutical representatives from the AstraZeneca Field Force on the characteristics and properties of new medicines. The AstraZeneca's agents play to earn points and improve their ranking against other players.
By answering various quizzes and playing different activities alone or in groups, the game has encouraged 97 percent of representatives to participate voluntarily online.
“Go to Jupiter” represents an example of how taking care of employees may also mean developing and introducing tools that share knowledge in the most enjoyable and collaborative way.",28,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Go To Jupiter,Link,www.alittleb.it/it/gamification-it/go-to-jupiter,29,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Southwest Airlines,Number,2,30,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Southwest Airlines,Photo,,31,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Southwest Airlines,Subtitle,Happy employees = Happy customers,32,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Southwest Airlines,Body Copy,"Southwest Airlines is often used as the perfect example of how to structure the relationship between a company and its employees. It is no coincidence that the firm enjoys a great reputation with customers and offeres exceptional service levels. That stems from the culture of the firm. It knows that if you treat your employees well, they will treat your customers well in turn.
The airline involves employees in many of its activities, including the design and development of the services it offers to customers. This depends on creating a creative and collborative working environment. Among its recent successes was a 19 month long process to redesign the uniforms of both cabin crew and ground staff.",33,,,
Hacktivism,Techonology,3,Emerging Patterns,Trends,Case Study,Southwest Airlines,Link,www.researchgate.net/publication/268718329_Southwest_ Airlines_Success_A_Case_Study_Analysis,34,,,
Don't Worry Be Healthy,Health & Wellbeing,1,Facts and figures,,,,Subtitle,"Wellbeing at the office is a good business strategy:
it increases the commitment and productivity of employees, it improves the company’s competitiveness and helps you win the war of talents",35,,,
Don't Worry Be Healthy,Health & Wellbeing,1,Facts and figures,,,,Infographic,31% of the world is inactive,36,,,
Don't Worry Be Healthy,Health & Wellbeing,1,Facts and figures,,,,Infographic,41% of the world is sedentary,37,,,
Don't Worry Be Healthy,Health & Wellbeing,1,Facts and figures,,,,Body Copy,"Physical activities are not only important to our health. Practicing a sport, moving or simply taking care of our own body has a direct influence on our social, individual, emotional and financial capital.",38,,,
Don't Worry Be Healthy,Health & Wellbeing,2,The expert‘s talk,,,,Section Description,"An interview with Dr. Dieter Breithecker of BAG, the German Federal Institute for the Devel- opment of Posture and Movement, who explains how moving at the office contributes to our well-being and efficiency while working.",39,,,
Don't Worry Be Healthy,Health & Wellbeing,2,The expert‘s talk,,,,Bio,"With Dr.Dieter Breithecker is ahealthand kinetics scientist.He headsthe Federal Institute for the Developmentof Posture and Movement, in Wiesbaden, Germany. Since 1991, he has been on the board of the “Healthy Spine - Better Living e.V.” forum, a consultant of the Association for Ergonomic and “Posture-friendly Quality Products” and the Managing Director of a rehabili- tation center with emphasis in orthopedic-traumatological syndromes. Dr. Breithecker’s work on ergonomics and humane workstationsiswidelypublishedthroughout Europe,Asia,Indonesia,Northand SouthAmerica,Australiaandthe Middle East.",40,,,
Don't Worry Be Healthy,Health & Wellbeing,2,The expert‘s talk,,,,Interview,"Dr Breithecker, statistics show an increasing number of people suf- fering from obesity, whilst offices represent the main environment in which people live a sedentary life. In your opinion, which are the main factors on which we should work to fight this?

D.B. _ Yes indeed, “sitting is killing you!”.
A vast amount of evidence has been published on the links between sedentary behavior and the leading causes of morbidity (cardiovascu- lar disease, diabetes and some cancers) and mortality regardless of any benefits from physical activity in leisure time. One cannot blame it only on the chair. The main risk factor is inactivity. Due to prolonged sitting on rigid chairs, we stop contracting the antigravity muscles. Yet, particular muscular contractions are the secret of success that trigger positive physical-mental-emotional interaction functions.
The fibrous tissues form a major organ system, which communicates with all the organs of the body including the brain. Once muscle fibers begin to move, signaling molecules are constantly released (proteins, enzymes, hormones) that influence the metabolism throughout the body positively. So get workers to stand and/or move more frequently. Our main goal has to be: Less confinement to the desks - integrate movement into your daily routine! Sit a maximun of six (better 4 hours), the rest of the working day you should stand and ambulate.

How much does well-being in the office depend on physical characteristics and quality of the space and how much does it relate to the good interactions among individuals?

D.B. _ Wellbeing, attention, social interaction and mental efficiency are strongly linked to environmental conditions. These keep on stimu- lating us positively or negatively. Millions of sensors on and in our bodies gather any relevant information.
Our sensory system is the ultimate “juggler” for keeping us physically, mentally and emotionally balanced:
Due to our genetic disposition, it reacts to sensory stimulation coming from natural factors. Therefore, more and more health-oriented spatial concepts emphasize daylight, good acoustics and fresh air.
However there is also an important sensory system located in our body, mainly distributed in muscles, which is known as the proprio- ceptive system or deep sensibility and takes is responsible for our body awareness. Numerous studies prove the significance of this sensory system for physical and mental vitality.
Consequently, our deep sensibility needs regular movement to pro- vide to us with physical, mental and social well-being. movement also has an impact on increased mental activity throughout team work- ing: This is why a lot of conference rooms or brainstorming areas have standing desks or allow small groups to talk while walking.

How important is the freedom of choice where to work in the office or the possibility to change posture while working?

D.B. _ Every person is different in nature.
If individual requirements, such as personal working rhythm, are not considered sufficiently in the design of the workplace, important hu- man potential is lost.
Our individual physical and mental well-being is based on complex biological and biomechanical interactions, which can be promoted by flexible workplace concepts.
We need open spaces in and out of an office (non territorial work- ing) where work tasks and spontaneous work positions are in balance. Furthermore, various options for social and collaborative interactions are required.
A variety of physiological postural changes and motions could be the positive consequences of spaces designed and equipped with appro- priate furniture, such as chairs with a three dimensional flexibility, standing solutions and relaxation areas.
Flexible working times for a better balance between work and leisure
– “Work-Life-Blending” – is necessary, as well.

Innovative working spaces are often introduce informal working areas in which seating and desks seem to disregard the basic principles of ergonomics: What is your opinion about this? D.B. _ The times in which we classified postures as dogmatically right and wrong are history. Humans beings are not designed to remain in a static posture for a long time. They are made to make a variety of postural changes and motions in an encouraging physically and socially stimulating environment.
Open workplaces and new flexible working concepts, in particular if fitted with adequate motion-promoting furniture, are, therefore, a good example of how spaces can already influence our sub consciousness, which, in turn, intuitively has effects on our bodies’ behavior. We are able to apply “intelligent” physiological self- organization, allowing them to unconsciously respond to stress signals of the body – as in the motion of a freestanding person.

Wearable devices track employee’s performance, health conditions and status of wellbeing: What are the benefits you see - if any - from the use of these devices? How do you believe they might change our working environments?

D.B. _ Modern information technology is ideal in supporting flexible workplace concepts such as open spaces or non-territorial working particular for so-called “knowledge workers”. Work where and when you want at different locations and in different postural positions - stand, sit, relax, walk- in the office, at home or elsewhere.
Mobile devices also make an important contribution in work-life- blending. In this case people can realize a more individualized and health-promoting rhythm of activity and relaxation, mental tension and recovery.
Mobile devices and their flexible use must go hand in hand with a corporate culture generally supporting processes in which employees will find an adequate environment where they feel comfortable and where they can work productively while maintaining and promoting their health.



",41,,,
Don't Worry Be Healthy,Health & Wellbeing,3,Emerging Patterns,Trends,Case Study,,Section Description,"Eight case studies of spaces, applications, initiatives, policies, products and services that reveal the importance of the correct workplace strategy and how great minds handle it.",42,,,
Don't Worry Be Healthy,Health & Wellbeing,3,Emerging Patterns,Trends,Case Study,HEALTHIEST 100,Subtitle,The healthiest 100 workplaces in America.,43,,,
Don't Worry Be Healthy,Health & Wellbeing,3,Emerging Patterns,Trends,Case Study,HEALTHIEST 100,Body Copy,"The Healthiest 100 is an award organized by the Healthiest Employers. The goal is to identify and reward all companies and corporations in the US that invested into creating the healthiest workplaces. It started as a survey to understand what employers were doing for the wellbeing of their employees. Today it involves more than 6.000 companies and 60 million workers in the US.
The award is open to companies of all sizes from every industrial sector that conduct programs of corporate wellness and declare to have the workers’ wellbeing at the center of their corporate strategy. The crite- ria are: Leadership commitment, foundational components, strategic planning, communication & marketing, programming & interventions, reporting & analysis.
",44,,,
Don't Worry Be Healthy,Health & Wellbeing,3,Emerging Patterns,Trends,Case Study,HEALTHIEST 100,Link,http://healthiest100.com/,45,,,
Don't Worry Be Healthy,Health & Wellbeing,3,Emerging Patterns,Trends,Case Study,BAYER HEALTHCARE (Whippany),Subtitle,From company’s values to company’s office strategy,46,,,
Don't Worry Be Healthy,Health & Wellbeing,3,Emerging Patterns,Trends,Case Study,BAYER HEALTHCARE (Whippany),Body Copy,"The new Bayer Healthcare headquarters in Whippany have been de- signed with a holistic approach to the workers’ wellbeing based on the development of the brand values.
All spaces have been conceived to stimulate people to move.
More than 2.500 workstations in the company are height-adjustable and equipped with treadmills. The restaurants offer a wide range of healthy food, and doctors are available for check-ups and controls. The layout of the green areas around the building was developed around long walking paths, but the most interesting elements are the stair- cases: They are considered the key elements of wellbeing at the office. Along the staircases, there are cafeterias, meeting rooms and other ar- eas to ecourage people to walk from one floor to another, and not to use the elevators.
",47,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,BAYER HEALTHCARE (Whippany),Link,http://businessfacilities.com/2013/10/bayer- healthcare-opens-u-s-headquarters-whippany-nj/,48,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,TWENTY,Subtitle,Rhythm and “move”,49,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,TWENTY,Body Copy,"Moving while working is a panacea for wellbeing at the office, but many researches state that is important to define a frequency, so as not to exaggerate, which would transform the benefits into tiredness and loss of productivity. The makers of the Twenty app, among other experts, think that the best way to fight the effects of sitting is to stand up for 2 minutes every 20 minutes. So, to encourage people to move, they designed an app that reminds when to change their position. It also tracks all the movement during the day as well as burned calories and other parameters.",50,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,TWENTY,Link,https://play.google.com/store/apps/details?id=com.mtmurdock. dailyreminders&hl=en,51,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,VALLECITO ELEMENTARY SCHOOL,Subtitle,Stand up desks to fight for children health,52,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,VALLECITO ELEMENTARY SCHOOL,Body Copy,"Vallecito Primary School in California is the first school in the U.S. to replace all the traditional desks with high desks to allow children to at- tend classes standing instead of sitting. Designed with the support of the “Stand Up Kids” association, the project aims to fight the so-called “sedentary lifestyle epidemic”. It turns out that children using the high desks are healthier and more focused on the activities in class. This case shows how the trend of offering standing alternatives to sitting is now widespread in various sectors and activities.",53,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,VALLECITO ELEMENTARY SCHOOL,Link,http://www.cbsnews.com/news/vallecito-elementary-school-in- northern-california-brings-standing-desks-into-the-classroom/,54,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,MARRIOT,Subtitle,Take care of  your people and they will take care of  your customers,55,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,MARRIOT,Body Copy,"Marriot, the American diversified hospitality company that manages and franchises a broad portfolio of hotels and related lodging facilities, has always followed the strategy of its founder: “take care of your em- ployee because then he will take care of your customers”.
This vision is also reflected in the wellbeing strategy of the company in which the all actions to support and improve the health and welfare of employees not only have a strong positive impact on the brand image of a company that calls itself “people-centric“, it also is a decisive com- petitive advantage.
These reasons, as well as the continuous offering of programs and ac- tivities to support labor flexibility and a good work-life balance are why Marriot is constantly makes the list of the 100 best companies to work.",56,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,MARRIOT,Link,http://www.forbes.com/sites/,57,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,ALTWORK,Subtitle,A way of working beyond the traditional desk and chairs,58,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,ALTWORK,Body Copy,"Among all the attempts to reframe the traditional workstation, Altwork is the one designed around the different positions a body can assume while working. It consists of an ergonomic chair, a monitor support, a small desk and other accessories, arranged to allow people to change their posture during work.
The user can choose to work in a “zero-gravity-like” position or in infi- nite variations between sitting and standing. They may decide to have the computer prompt posture changes according to specific wellbeing programs or act manually.
Altwork´s workstation is designed to occupy an area of barely 2 square meters and weighs 95kg.",59,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,ALTWORK,Link,http://www.altwork.it,60,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,LOCUS,Subtitle,A few days at a stand-up desk and you’ll never go back,61,,,
Don't Worry Be Healthy,Health & Wellbeing,,Emerging Patterns,Trends,Case Study,LOCUS,Body Copy,"The Locus Seat is a radical redesign of the traditional office chair. You don’t sit on it; you lean on it. By doing so, the body is continuously sup- ported in a relaxed, upright position.
The seat is designed to adjust to every move the user makes, while maintaining equilibrium between the back and core muscles. This way of sitting makes the body effortlessly active, increasing blood circula- tion, engaging and relaxing muscles at the same time.
As a result, the seat is reduces both the risk of “sitting disease” and the fatigue brought on by standing.",62,,,
